,player_name,player_kills,player_dbno,player_assists,player_dmg,player_dist_ride,player_dist_walk,player_survive_time
1466,Lee_phoenix,5 ,3 ,0 ,451 ,6919 ,1120 ,1402 
1467,Legendscao,0 ,0 ,0 ,135 ,915 ,2191 ,1763 
1468,Lei_Hao_,0 ,0 ,0 ,90 ,0 ,555 ,436 
1469,Leilei159,0 ,2 ,0 ,308 ,4417 ,2374 ,1646 
1470,Lemon_Meow_Perth,0 ,0 ,0 ,0 ,0 ,0 ,1138 
1471,LengRain,0 ,0 ,0 ,47 ,0 ,1037 ,921 
1472,Leo-wx,1 ,1 ,1 ,137 ,5974 ,2678 ,1519 
1473,LeonLN,1 ,0 ,0 ,187 ,6706 ,1064 ,1025 
1474,LeslieVAN,4 ,0 ,1 ,345 ,995 ,476 ,333 
1475,Lesliecml,2 ,0 ,0 ,208 ,3444 ,864 ,925 
1476,Levin777,0 ,0 ,0 ,27 ,2771 ,627 ,761 
1477,Lhy-ss,0 ,2 ,0 ,301 ,3391 ,597 ,528 
1478,LiAoChen-,0 ,0 ,0 ,50 ,2594 ,2778 ,1125 
1479,LiBaoGG,0 ,0 ,0 ,91 ,0 ,793 ,808 
1480,LiFei8881,1 ,0 ,0 ,111 ,3468 ,2837 ,1316 
1481,LiZhenglz,3 ,2 ,1 ,259 ,4455 ,1943 ,1191 
1482,LiangYinoooo,0 ,0 ,0 ,116 ,0 ,320 ,206 
1483,Librazhao,1 ,1 ,0 ,100 ,0 ,563 ,460 
1484,LicentiousClown,2 ,1 ,0 ,200 ,0 ,504 ,324 
1485,Lidajier666,0 ,0 ,0 ,0 ,0 ,57 ,119 
1486,LiftedNative,2 ,1 ,0 ,347 ,0 ,1600 ,952 
1487,LikeKrystal,0 ,0 ,0 ,0 ,0 ,1016 ,452 
1488,Lin-nan,0 ,0 ,0 ,0 ,0 ,2516 ,651 
1489,LinBoLinBo,0 ,1 ,0 ,75 ,0 ,514 ,370 
1490,LinN_V587,0 ,0 ,0 ,0 ,0 ,106 ,225 
1491,Link_w,0 ,0 ,0 ,0 ,0 ,554 ,432 
1492,Linyizhe168,2 ,0 ,0 ,204 ,0 ,184 ,145 
1493,Listen-vleai,0 ,0 ,0 ,0 ,0 ,166 ,249 
1494,Little-jelly,0 ,0 ,0 ,100 ,0 ,471 ,485 
1495,LittleBox_,0 ,0 ,0 ,19 ,0 ,687 ,425 
1496,LittleMapleking,1 ,0 ,1 ,244 ,0 ,350 ,429 
1497,LiuB_,1 ,1 ,0 ,100 ,0 ,593 ,419 
1498,LiuOVO,0 ,0 ,0 ,0 ,1082 ,937 ,380 
1499,LiuYangTOT,0 ,0 ,0 ,0 ,0 ,60 ,124 
1500,LiuYingMing,0 ,0 ,0 ,41 ,0 ,1156 ,438 
1501,Liu_kai-,2 ,3 ,0 ,347 ,4720 ,2032 ,1279 
1502,Liuanhong,0 ,0 ,0 ,0 ,0 ,2935 ,1336 
1503,Liuxinbaba,2 ,1 ,0 ,219 ,0 ,907 ,829 
1504,Liuzixu7,2 ,0 ,0 ,205 ,1124 ,3543 ,1721 
1505,Liveo6,1 ,0 ,0 ,94 ,2314 ,3635 ,1335 
1506,Lklin,0 ,0 ,0 ,0 ,0 ,498 ,523 
1507,Lmc-ccccc,0 ,0 ,0 ,0 ,664 ,1681 ,820 
1508,LockPri,1 ,1 ,1 ,126 ,0 ,266 ,395 
1509,LoganBlue,0 ,0 ,0 ,129 ,3620 ,2499 ,1502 
1510,Lolylove,0 ,0 ,0 ,0 ,544 ,2002 ,940 
1511,LonewoR,0 ,0 ,0 ,0 ,994 ,2876 ,1728 
1512,LongH,2 ,3 ,1 ,391 ,6231 ,1473 ,1358 
1513,LordVant,0 ,0 ,0 ,0 ,0 ,189 ,192 
1514,Lordbarrel,1 ,1 ,0 ,68 ,0 ,144 ,221 
1515,Losehart,1 ,1 ,0 ,77 ,0 ,405 ,296 
1516,Love195,0 ,0 ,0 ,44 ,0 ,115 ,197 
1517,Love6alone,3 ,0 ,0 ,389 ,2459 ,3538 ,1746 
1518,LoveStudying,0 ,0 ,0 ,0 ,0 ,784 ,400 
1519,LoveTwer2,0 ,0 ,0 ,15 ,3891 ,763 ,1160 
1520,LoveZero99,0 ,0 ,0 ,0 ,0 ,16 ,84 
1521,Loveroodeep,0 ,0 ,0 ,3 ,4987 ,3260 ,1652 
1522,Lovers3,0 ,0 ,0 ,0 ,0 ,334 ,220 
1523,Lovinme,0 ,0 ,0 ,0 ,0 ,0 ,158 
1524,Low1997,0 ,1 ,1 ,175 ,3610 ,2438 ,1212 
1525,LowKeyOP,0 ,0 ,0 ,4 ,6895 ,936 ,921 
1526,Lowmoi,5 ,2 ,0 ,648 ,3329 ,2746 ,1590 
1527,Lpiss,0 ,0 ,0 ,87 ,0 ,104 ,149 
1528,LuPeng315094830,3 ,3 ,1 ,565 ,0 ,2836 ,1790 
1529,Luan-1978,1 ,0 ,2 ,185 ,1147 ,2649 ,1523 
1530,Luanpei,0 ,0 ,0 ,42 ,4419 ,1557 ,1032 
1531,Lucas-Jax,0 ,0 ,0 ,0 ,0 ,155 ,192 
1532,Lucas-Xx,4 ,3 ,0 ,272 ,0 ,1709 ,912 
1533,Lucas_Jia,0 ,0 ,0 ,14 ,0 ,72 ,140 
1534,LucieanDX,0 ,0 ,0 ,29 ,0 ,520 ,394 
1535,LuciferL_,3 ,2 ,0 ,300 ,0 ,586 ,379 
1536,Luck1116,2 ,2 ,0 ,102 ,0 ,1117 ,689 
1537,Lucky0429,0 ,0 ,0 ,0 ,0 ,71 ,123 
1538,LuckyChicken_,2 ,1 ,0 ,143 ,3498 ,2293 ,1335 
1539,LuckyPuCa,2 ,2 ,0 ,288 ,0 ,379 ,488 
1540,LuckyZXP,1 ,1 ,0 ,105 ,0 ,1999 ,745 
1541,Lucky_55,0 ,0 ,0 ,52 ,2236 ,5307 ,1548 
1542,Luckyabby,0 ,0 ,0 ,0 ,0 ,861 ,829 
1543,LunaeticQ,0 ,0 ,0 ,0 ,0 ,58 ,157 
1544,LuoDi98K-Lu,0 ,0 ,0 ,0 ,0 ,54 ,91 
1545,Luochuanxin,0 ,0 ,0 ,75 ,0 ,35 ,146 
1546,LuoisShow,2 ,0 ,0 ,312 ,0 ,2588 ,1415 
1547,LuoliZzzzzzz,0 ,0 ,0 ,52 ,0 ,920 ,430 
1548,Luoxiansnb,2 ,0 ,0 ,212 ,0 ,419 ,449 
1549,Luoyugouer,0 ,0 ,0 ,0 ,0 ,1817 ,553 
1550,Luqiqi_DD,0 ,0 ,0 ,26 ,0 ,467 ,384 
1551,Lusc9,0 ,0 ,0 ,24 ,822 ,2130 ,864 
1552,Lutoo,2 ,2 ,1 ,225 ,6192 ,3278 ,1853 
1553,Luzhou_laoli,0 ,0 ,0 ,0 ,1404 ,599 ,417 
1554,LvMaxKing,0 ,0 ,0 ,0 ,0 ,1021 ,854 
1555,Lwaon,2 ,0 ,0 ,169 ,1668 ,2771 ,1433 
1556,Lxixixixi,0 ,1 ,0 ,99 ,2412 ,3022 ,1493 
1557,Ly3344996,1 ,0 ,0 ,95 ,3503 ,2725 ,1275 
1558,Ly94o,1 ,1 ,0 ,175 ,0 ,999 ,582 
1559,Lychaiyoushei,5 ,4 ,2 ,447 ,4073 ,3464 ,1806 
1560,Lycoris0,0 ,0 ,0 ,0 ,0 ,79 ,159 
1561,Lydon,0 ,0 ,0 ,0 ,3832 ,4054 ,1589 
1562,LyeqingF,0 ,0 ,1 ,22 ,1 ,4345 ,945 
1563,Lynks_God,0 ,0 ,0 ,0 ,1763 ,2623 ,1340 
1564,Lzq-YaoNiMing,0 ,0 ,0 ,25 ,0 ,64 ,171 
1565,M-zxy,0 ,0 ,0 ,0 ,0 ,95 ,117 
1566,M16A4---6666,6 ,4 ,0 ,587 ,0 ,2209 ,938 
1567,M16yy,0 ,0 ,1 ,2 ,2428 ,1490 ,1103 
1568,M1nussssssssss,3 ,4 ,0 ,378 ,4326 ,2371 ,1908 
1569,M4AV-,0 ,0 ,0 ,0 ,0 ,145 ,174 
1570,MALANFANG520,0 ,0 ,0 ,0 ,0 ,2 ,96 
1571,MARSCZC,1 ,1 ,1 ,142 ,8583 ,1281 ,1756 
1572,MARSHJ,0 ,0 ,0 ,0 ,2083 ,541 ,676 
1573,MASK5678S,0 ,0 ,2 ,33 ,0 ,475 ,678 
1574,MASTERCHIEF-123,0 ,1 ,0 ,173 ,0 ,46 ,149 
1575,MAX-Cuz,1 ,1 ,2 ,311 ,4179 ,3293 ,1854 
1576,MAYCHIANE,0 ,2 ,0 ,122 ,3953 ,3541 ,1386 
1577,MC-Gangster,0 ,0 ,0 ,0 ,0 ,216 ,243 
1578,MCSTEVEK,0 ,0 ,0 ,0 ,0 ,0 ,1182 
1579,MDZZOFYOU,0 ,0 ,0 ,0 ,0 ,817 ,464 
1580,MEH-Rocks,1 ,0 ,0 ,152 ,3764 ,2165 ,1241 
1581,MENGStrangerd,5 ,2 ,0 ,294 ,258 ,2479 ,1319 
1582,MEga-MArshall,2 ,2 ,0 ,145 ,1561 ,1330 ,1350 
1583,MFQistheking,0 ,0 ,0 ,0 ,1844 ,1754 ,602 
1584,MG45-69,0 ,0 ,0 ,52 ,0 ,19 ,111 
1585,MHD-yintao,1 ,2 ,3 ,322 ,3235 ,2793 ,1786 
1586,MICHAEL1212,0 ,0 ,0 ,0 ,3640 ,2473 ,1498 
1587,MINGGE84,0 ,1 ,0 ,36 ,250 ,1327 ,702 
1588,MINIONS-01,0 ,1 ,0 ,75 ,0 ,379 ,415 
1589,MISSleli,0 ,0 ,0 ,0 ,1618 ,626 ,407 
1590,MJDoctor,0 ,0 ,0 ,0 ,0 ,68 ,139 
1591,MKIUIII,2 ,1 ,0 ,157 ,325 ,3334 ,1378 
1592,MLF5420,0 ,1 ,0 ,93 ,0 ,673 ,394 
1593,MLGB38,0 ,0 ,0 ,0 ,0 ,168 ,244 
1594,MLGJB2017,0 ,0 ,0 ,19 ,0 ,2987 ,1148 
1595,MLXGFS111,3 ,3 ,2 ,398 ,0 ,4403 ,1820 
1596,MMCZ066,0 ,0 ,0 ,28 ,0 ,1198 ,563 
1597,MMPYANGDADA,0 ,0 ,0 ,21 ,0 ,1674 ,975 
1598,MMPken66,0 ,0 ,0 ,0 ,5261 ,1353 ,1018 
1599,MMVVP,0 ,0 ,0 ,40 ,2448 ,1716 ,811 
1600,MOCARS,2 ,0 ,0 ,189 ,0 ,960 ,575 
1601,MOMBILIBOOM,2 ,3 ,1 ,325 ,4509 ,2691 ,1891 
1602,MOUMOUchen,1 ,1 ,0 ,100 ,0 ,46 ,151 
1603,MOYIBONB,2 ,1 ,0 ,173 ,975 ,1580 ,839 
1604,MR-BREADEN,0 ,0 ,0 ,36 ,4867 ,507 ,565 
1605,MR-Cooler,6 ,0 ,0 ,710 ,1 ,3453 ,1646 
1606,MRBIG0215,2 ,1 ,1 ,231 ,2032 ,2298 ,1629 
1607,MSWAN111,0 ,0 ,0 ,0 ,0 ,512 ,382 
1608,MT005,1 ,0 ,0 ,50 ,0 ,459 ,305 
1609,MTTzbz,0 ,0 ,0 ,0 ,0 ,30 ,81 
1610,MVMVMV-M,0 ,0 ,0 ,115 ,0 ,427 ,351 
1611,MVP_mage,0 ,0 ,1 ,0 ,0 ,2101 ,855 
1612,MYTH_123,1 ,1 ,2 ,208 ,2252 ,3620 ,1494 
1613,MZMSYS,1 ,2 ,1 ,190 ,0 ,727 ,439 
1614,MZ_LCY_ECBS2,2 ,2 ,0 ,123 ,0 ,1134 ,1082 
1615,M_JarvanIV,0 ,0 ,0 ,15 ,1175 ,1934 ,1068 
1616,MaRin2242,0 ,0 ,0 ,49 ,0 ,253 ,218 
1617,MaShiPoison,5 ,2 ,0 ,334 ,1291 ,3295 ,1079 
1618,Mackycamael,0 ,0 ,0 ,0 ,0 ,116 ,134 
1619,Madchild-,0 ,0 ,0 ,9 ,169 ,2549 ,1388 
1620,Madlife1990,2 ,0 ,1 ,194 ,0 ,105 ,205 
1621,MaekG,0 ,0 ,0 ,0 ,1706 ,2704 ,793 
1622,MagicCHC,0 ,0 ,0 ,22 ,0 ,358 ,369 
1623,Major9898,1 ,1 ,2 ,38 ,2665 ,3140 ,1587 
1624,MajorGas,0 ,0 ,0 ,0 ,0 ,16 ,99 
1625,Make1992TP,0 ,0 ,0 ,114 ,0 ,459 ,638 
1626,Make1992WJ,0 ,0 ,0 ,72 ,0 ,111 ,197 
1627,Make1993wg,3 ,3 ,0 ,224 ,0 ,1658 ,956 
